Time,Temperature
2018-09-11 15:05:14.631034577+00:00,27.0
2018-09-11 15:10:20.746100041+00:00,28.0
2018-09-11 15:15:29.878732285+00:00,24.0
2018-09-11 15:20:35.955566643+00:00,23.0
2018-09-11 15:25:42.068541034+00:00,22.0
2018-09-11 15:27:22.933813732+00:00,22.0
2018-09-11 15:33:09.952484862+00:00,22.0
2018-09-11 16:33:16.052339270+00:00,22.0
2018-09-11 18:33:36.223761029+00:00,20.0
2018-09-11 19:33:42.389399929+00:00,20.0
2018-09-11 20:33:48.439583901+00:00,18.0
2018-09-11 21:33:54.547711834+00:00,17.0
2018-09-11 22:34:00.653431466+00:00,16.0
2018-09-11 23:34:06.760194736+00:00,15.0
2018-09-12 00:34:12.870589531+00:00,15.0
2018-09-12 01:34:21.966967997+00:00,15.0
2018-09-12 02:34:28.089276960+00:00,15.0
2018-09-12 03:34:37.196391772+00:00,14.0
2018-09-12 04:34:49.293544513+00:00,12.0
2018-09-12 05:34:55.458519106+00:00,13.0
2018-09-12 06:35:01.554702822+00:00,12.0
2018-09-12 08:35:21.918702108+00:00,17.0
2018-09-12 09:35:30.866646508+00:00,20.0
2018-09-12 15:36:21.511361169+00:00,24.0
2018-09-12 17:36:33.704244099+00:00,22.0
2018-09-12 18:36:39.807313359+00:00,22.0
2018-09-12 19:36:45.917074256+00:00,19.0
2018-09-12 20:36:52.019807933+00:00,18.0
2018-09-12 21:37:01.135376503+00:00,16.0
2018-09-12 22:37:13.229622376+00:00,15.0
2018-09-12 23:37:22.469158048+00:00,14.0
2018-09-13 00:37:28.488675577+00:00,14.0
2018-09-13 01:37:34.612276111+00:00,13.0
2018-09-13 02:37:46.724352465+00:00,13.0
2018-09-13 03:37:55.854016305+00:00,13.0
2018-09-13 04:38:01.984024394+00:00,13.0
2018-09-13 05:38:08.128700597+00:00,13.0
2018-09-13 06:38:17.221973817+00:00,13.0
2018-09-13 07:38:23.359316626+00:00,13.0
2018-09-13 09:38:40.583187157+00:00,18.0
2018-09-13 11:38:57.815979839+00:00,21.0
2018-09-13 12:39:03.907247293+00:00,24.0
2018-09-13 13:39:10.016974459+00:00,25.0
2018-09-13 14:39:16.128171754+00:00,25.0
2018-09-13 16:39:39.308923073+00:00,23.0
2018-09-13 17:39:45.537174514+00:00,23.0
2018-09-13 18:39:51.556145682+00:00,21.0
2018-09-13 19:39:57.737558314+00:00,19.0
2018-09-13 20:40:06.774572033+00:00,16.0
2018-09-13 21:40:12.902395073+00:00,16.0
2018-09-13 22:40:24.993419596+00:00,16.0
2018-09-13 23:40:34.124752833+00:00,15.0
2018-09-14 00:40:40.257065575+00:00,16.0
2018-09-14 01:40:46.387335368+00:00,16.0
2018-09-14 03:41:03.635174521+00:00,15.0
2018-09-14 11:42:38.285402782+00:00,22.0
2018-09-14 12:42:47.368046894+00:00,26.0
2018-09-14 13:42:56.480717065+00:00,27.0
2018-09-14 14:43:05.613966458+00:00,27.0
2018-09-14 15:43:17.684270012+00:00,25.0
2018-09-14 16:43:37.510412246+00:00,24.0
2018-09-14 17:43:43.746558801+00:00,22.0
2018-09-16 17:11:28.522295855+00:00,23.0
2018-09-16 18:11:34.606732856+00:00,23.0
2018-09-16 19:11:43.693538237+00:00,18.0
2018-09-16 20:11:49.812189785+00:00,18.0
2018-09-16 21:12:01.884643242+00:00,15.0
2018-09-16 22:12:14.002020565+00:00,15.0
2018-09-16 23:12:20.141162197+00:00,15.0
2018-09-17 01:12:37.362680387+00:00,13.0
2018-09-17 02:12:46.482197239+00:00,11.0
2018-09-17 03:12:52.609011745+00:00,12.0
2018-09-17 04:12:58.741902077+00:00,12.0
2018-09-17 05:13:07.860473599+00:00,9.0
2018-09-17 06:13:17.003278015+00:00,8.0
2018-09-17 07:13:26.805291613+00:00,9.0
2018-09-17 09:13:44.366340321+00:00,19.0
2018-09-17 10:13:50.514654481+00:00,19.0
2018-09-17 11:13:59.576712477+00:00,25.0
2018-09-17 12:14:05.713864277+00:00,25.0
2018-09-17 13:14:11.814471209+00:00,27.0
2018-09-17 14:14:21.377305912+00:00,25.0
2018-09-17 16:14:41.118360788+00:00,24.0
2018-09-17 17:14:53.211336221+00:00,23.0
2018-09-17 18:14:59.368000155+00:00,23.0
2018-09-17 19:15:08.453396602+00:00,20.0
2018-09-17 21:15:25.700509897+00:00,18.0
